,Number,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary,Color,hasGender,Pr_Male,Egg_Group_1,Egg_Group_2,hasMegaEvolution,Height_m,Weight_kg,Catch_Rate,Body_Style,species,Pr_Female,BMI,region
0,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,Green,True,0.875,Monster,Grass,False,0.71,6.9,45,quadruped,Seed,0.125,13.687760365,Kanto
1,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,Green,True,0.875,Monster,Grass,False,0.99,13.0,45,quadruped,Seed,0.125,13.2639526579,Kanto
2,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,Green,True,0.875,Monster,Grass,True,2.01,100.0,45,quadruped,Seed,0.125,24.7518625777,Kanto
3,4,Charmander,Fire,None,309,39,52,43,60,50,65,1,False,Red,True,0.875,Monster,Dragon,False,0.61,8.5,45,bipedal_tailed,Lizard,0.125,22.8433216877,Kanto
4,5,Charmeleon,Fire,None,405,58,64,58,80,65,80,1,False,Red,True,0.875,Monster,Dragon,False,1.09,19.0,45,bipedal_tailed,Flame,0.125,15.9919198721,Kanto
5,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,Red,True,0.875,Monster,Dragon,True,1.7,90.5,45,bipedal_tailed,Flame,0.125,31.3148788927,Kanto
6,7,Squirtle,Water,None,314,44,48,65,50,64,43,1,False,Blue,True,0.875,Monster,Water_1,False,0.51,9.0,45,bipedal_tailed,Tiny Turtle,0.125,34.6020761246,Kanto
7,8,Wartortle,Water,None,405,59,63,80,65,80,58,1,False,Blue,True,0.875,Monster,Water_1,False,0.99,22.5,45,bipedal_tailed,Turtle,0.125,22.9568411387,Kanto
8,9,Blastoise,Water,None,530,79,83,100,85,105,78,1,False,Blue,True,0.875,Monster,Water_1,True,1.6,85.5,45,bipedal_tailed,Shellfish,0.125,33.3984375,Kanto
9,10,Caterpie,Bug,None,195,45,30,35,20,20,45,1,False,Green,True,0.5,Bug,None,False,0.3,2.9,255,insectoid,Worm,0.5,32.2222222222,Kanto
10,11,Metapod,Bug,None,205,50,20,55,25,25,30,1,False,Green,True,0.5,Bug,None,False,0.71,9.9,120,serpentine_body,Cocoon,0.5,19.6389605237,Kanto
11,12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,White,True,0.5,Bug,None,False,1.09,32.0,45,four_wings,Butterfly,0.5,26.9337597845,Kanto
12,13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,Brown,True,0.5,Bug,None,False,0.3,3.2,255,serpentine_body,Hairy Bug,0.5,35.5555555556,Kanto
13,14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,Yellow,True,0.5,Bug,None,False,0.61,10.0,120,serpentine_body,Cocoon,0.5,26.8744961032,Kanto
14,15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,Yellow,True,0.5,Bug,None,True,0.99,29.5,45,four_wings,Poison Bee,0.5,30.0989694929,Kanto
15,16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,Brown,True,0.5,Flying,None,False,0.3,1.8,255,two_wings,Tiny Bird,0.5,20.0,Kanto
16,17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,Brown,True,0.5,Flying,None,False,1.09,30.0,120,two_wings,Bird,0.5,25.250399798,Kanto
17,18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,Brown,True,0.5,Flying,None,True,1.5,39.5,45,two_wings,Bird,0.5,17.5555555556,Kanto
18,19,Rattata,Normal,None,253,30,56,35,25,35,72,1,False,Purple,True,0.5,Field,None,False,0.3,3.5,255,quadruped,Mouse,0.5,38.8888888889,Kanto
19,20,Raticate,Normal,None,413,55,81,60,50,70,97,1,False,Brown,True,0.5,Field,None,False,0.71,18.5,127,quadruped,Mouse,0.5,36.6990676453,Kanto
20,21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,Brown,True,0.5,Flying,None,False,0.3,2.0,255,two_wings,Tiny Bird,0.5,22.2222222222,Kanto
21,22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,Brown,True,0.5,Flying,None,False,1.19,38.0,90,two_wings,Beak,0.5,26.834263117,Kanto
22,23,Ekans,Poison,None,288,35,60,44,40,54,55,1,False,Purple,True,0.5,Field,Dragon,False,2.01,6.9,255,serpentine_body,Snake,0.5,1.70787851786,Kanto
23,24,Arbok,Poison,None,438,60,85,69,65,79,80,1,False,Purple,True,0.5,Field,Dragon,False,3.51,65.0,90,serpentine_body,Cobra,0.5,5.27593120186,Kanto
24,25,Pikachu,Electric,None,320,35,55,40,50,50,90,1,False,Yellow,True,0.5,Field,Fairy,False,0.41,6.0,190,quadruped,Mouse,0.5,35.6930398572,Kanto
25,26,Raichu,Electric,None,485,60,90,55,90,80,110,1,False,Yellow,True,0.5,Field,Fairy,False,0.79,30.0,75,bipedal_tailed,Mouse,0.5,48.0692196763,Kanto
26,27,Sandshrew,Ground,None,300,50,75,85,20,30,40,1,False,Yellow,True,0.5,Field,None,False,0.61,12.0,255,bipedal_tailed,Mouse,0.5,32.2493953238,Kanto
27,28,Sandslash,Ground,None,450,75,100,110,45,55,65,1,False,Yellow,True,0.5,Field,None,False,0.99,29.5,90,bipedal_tailed,Mouse,0.5,30.0989694929,Kanto
28,29,Nidoran♀,Poison,None,275,55,47,52,40,40,41,1,False,Blue,True,0.0,Monster,Field,False,0.41,7.0,235,quadruped,Poison Pin,1.0,41.6418798334,Kanto
29,30,Nidorina,Poison,None,365,70,62,67,55,55,56,1,False,Blue,True,0.0,Undiscovered,None,False,0.79,20.0,120,quadruped,Poison Pin,1.0,32.0461464509,Kanto
30,31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,Blue,True,0.0,Undiscovered,None,False,1.3,60.0,45,bipedal_tailed,Drill,1.0,35.5029585799,Kanto
31,32,Nidoran♂,Poison,None,273,46,57,40,40,40,50,1,False,Purple,True,1.0,Monster,Field,False,0.51,9.0,235,quadruped,Poison Pin,0.0,34.6020761246,Kanto
32,33,Nidorino,Poison,None,365,61,72,57,55,55,65,1,False,Purple,True,1.0,Monster,Field,False,0.89,19.5,120,quadruped,Poison Pin,0.0,24.6181037748,Kanto
33,34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,Purple,True,1.0,Monster,Field,False,1.4,62.0,45,bipedal_tailed,Drill,0.0,31.6326530612,Kanto
34,35,Clefairy,Fairy,None,323,70,45,48,60,65,35,1,False,Pink,True,0.25,Fairy,None,False,0.61,7.5,150,bipedal_tailed,Fairy,0.75,20.1558720774,Kanto
35,36,Clefable,Fairy,None,483,95,70,73,95,90,60,1,False,Pink,True,0.25,Fairy,None,False,1.3,40.0,25,bipedal_tailed,Fairy,0.75,23.6686390533,Kanto
36,37,Vulpix,Fire,None,299,38,41,40,50,65,65,1,False,Brown,True,0.25,Field,None,False,0.61,9.9,190,quadruped,Fox,0.75,26.6057511422,Kanto
37,38,Ninetales,Fire,None,505,73,76,75,81,100,100,1,False,Yellow,True,0.25,Field,None,False,1.09,19.9,75,quadruped,Fox,0.75,16.749431866,Kanto
38,39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,Pink,True,0.25,Fairy,None,False,0.51,5.5,170,bipedal_tailless,Balloon,0.75,21.1457131872,Kanto
39,40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,Pink,True,0.25,Fairy,None,False,0.99,12.0,50,bipedal_tailless,Balloon,0.75,12.2436486073,Kanto
40,41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,Purple,True,0.5,Flying,None,False,0.79,7.5,255,two_wings,Bat,0.5,12.0173049191,Kanto
41,42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,Purple,True,0.5,Flying,None,False,1.6,55.0,90,two_wings,Bat,0.5,21.484375,Kanto
42,43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,Blue,True,0.5,Grass,None,False,0.51,5.4,255,head_legs,Weed,0.5,20.7612456747,Kanto
43,44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,Blue,True,0.5,Grass,None,False,0.79,8.6,120,bipedal_tailless,Weed,0.5,13.7798429739,Kanto
44,45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,Red,True,0.5,Grass,None,False,1.19,18.6,45,bipedal_tailless,Flower,0.5,13.134665631,Kanto
45,46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,Red,True,0.5,Bug,Grass,False,0.3,5.4,190,insectoid,Mushroom,0.5,60.0,Kanto
46,47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,Red,True,0.5,Bug,Grass,False,0.99,29.5,75,insectoid,Mushroom,0.5,30.0989694929,Kanto
47,48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,Purple,True,0.5,Bug,None,False,0.99,30.0,190,bipedal_tailless,Insect,0.5,30.6091215182,Kanto
48,49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,Purple,True,0.5,Bug,None,False,1.5,12.5,75,four_wings,Poison Moth,0.5,5.55555555556,Kanto
49,50,Diglett,Ground,None,265,10,55,25,35,45,95,1,False,Brown,True,0.5,Field,None,False,0.2,0.8,255,head_base,Mole,0.5,20.0,Kanto
50,51,Dugtrio,Ground,None,405,35,80,50,50,70,120,1,False,Brown,True,0.5,Field,None,False,0.71,33.3,50,multiple_bodies,Mole,0.5,66.0583217616,Kanto
51,52,Meowth,Normal,None,290,40,45,35,40,40,90,1,False,Yellow,True,0.5,Field,None,False,0.41,4.2,255,quadruped,Scratch Cat,0.5,24.9851279001,Kanto
52,53,Persian,Normal,None,440,65,70,60,65,65,115,1,False,Yellow,True,0.5,Field,None,False,0.99,32.0,90,quadruped,Classy Cat,0.5,32.6497296194,Kanto
53,54,Psyduck,Water,None,320,50,52,48,65,50,55,1,False,Yellow,True,0.5,Water_1,Field,False,0.79,19.6,190,bipedal_tailed,Duck,0.5,31.4052235219,Kanto
54,55,Golduck,Water,None,500,80,82,78,95,80,85,1,False,Blue,True,0.5,Water_1,Field,False,1.7,76.6,75,bipedal_tailed,Duck,0.5,26.5051903114,Kanto
55,56,Mankey,Fighting,None,305,40,80,35,35,45,70,1,False,Brown,True,0.5,Field,None,False,0.51,28.0,190,bipedal_tailed,Pig Monkey,0.5,107.650903499,Kanto
56,57,Primeape,Fighting,None,455,65,105,60,60,70,95,1,False,Brown,True,0.5,Field,None,False,0.99,32.0,75,bipedal_tailed,Pig Monkey,0.5,32.6497296194,Kanto
57,58,Growlithe,Fire,None,350,55,70,45,70,50,60,1,False,Brown,True,0.75,Field,None,False,0.71,19.0,190,quadruped,Puppy,0.25,37.6909343384,Kanto
58,59,Arcanine,Fire,None,555,90,110,80,100,80,95,1,False,Brown,True,0.75,Field,None,False,1.91,155.0,75,quadruped,Legendary,0.25,42.4878703983,Kanto
59,60,Poliwag,Water,None,300,40,50,40,40,40,90,1,False,Blue,True,0.5,Water_1,None,False,0.61,12.4,255,head_legs,Tadpole,0.5,33.324375168,Kanto
60,61,Poliwhirl,Water,None,385,65,65,65,50,50,90,1,False,Blue,True,0.5,Water_1,None,False,0.99,20.0,120,bipedal_tailless,Tadpole,0.5,20.4060810121,Kanto
61,62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,Blue,True,0.5,Water_1,None,False,1.3,54.0,45,bipedal_tailless,Tadpole,0.5,31.9526627219,Kanto
62,63,Abra,Psychic,None,310,25,20,15,105,55,90,1,False,Brown,True,0.75,Human-Like,None,False,0.89,19.5,200,bipedal_tailed,Psi,0.25,24.6181037748,Kanto
63,64,Kadabra,Psychic,None,400,40,35,30,120,70,105,1,False,Brown,True,0.75,Human-Like,None,False,1.3,56.5,100,bipedal_tailed,Psi,0.25,33.4319526627,Kanto
64,65,Alakazam,Psychic,None,500,55,50,45,135,95,120,1,False,Brown,True,0.75,Human-Like,None,True,1.5,48.0,50,bipedal_tailless,Psi,0.25,21.3333333333,Kanto
65,66,Machop,Fighting,None,305,70,80,50,35,35,35,1,False,Grey,True,0.75,Human-Like,None,False,0.79,19.5,180,bipedal_tailed,Superpower,0.25,31.2449927896,Kanto
66,67,Machoke,Fighting,None,405,80,100,70,50,60,45,1,False,Grey,True,0.75,Human-Like,None,False,1.5,70.5,90,bipedal_tailless,Superpower,0.25,31.3333333333,Kanto
67,68,Machamp,Fighting,None,505,90,130,80,65,85,55,1,False,Grey,True,0.75,Human-Like,None,False,1.6,130.0,45,bipedal_tailless,Superpower,0.25,50.78125,Kanto
68,69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,Green,True,0.5,Grass,None,False,0.71,4.0,255,bipedal_tailless,Flower,0.5,7.93493354493,Kanto
69,70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,Green,True,0.5,Grass,None,False,0.99,6.4,120,head_base,Flycatcher,0.5,6.52994592389,Kanto
70,71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,Green,True,0.5,Grass,None,False,1.7,15.5,45,head_base,Flycatcher,0.5,5.36332179931,Kanto
71,72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,Blue,True,0.5,Water_3,None,False,0.89,45.5,190,several_limbs,Jellyfish,0.5,57.4422421411,Kanto
72,73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,Blue,True,0.5,Water_3,None,False,1.6,55.0,60,several_limbs,Jellyfish,0.5,21.484375,Kanto
73,74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,Brown,True,0.5,Mineral,None,False,0.41,20.0,255,head_arms,Rock,0.5,118.976799524,Kanto
74,75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,Brown,True,0.5,Mineral,None,False,0.99,105.0,120,bipedal_tailless,Rock,0.5,107.131925314,Kanto
75,76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,Brown,True,0.5,Mineral,None,False,1.4,300.0,45,bipedal_tailless,Megaton,0.5,153.06122449,Kanto
76,77,Ponyta,Fire,None,410,50,85,55,65,65,90,1,False,Yellow,True,0.5,Field,None,False,0.99,30.0,190,quadruped,Fire Horse,0.5,30.6091215182,Kanto
77,78,Rapidash,Fire,None,500,65,100,70,80,80,105,1,False,Yellow,True,0.5,Field,None,False,1.7,95.0,60,quadruped,Fire Horse,0.5,32.8719723183,Kanto
78,79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,Pink,True,0.5,Monster,Water_1,False,1.19,36.0,190,quadruped,Dopey,0.5,25.4219334793,Kanto
79,80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,Pink,True,0.5,Monster,Water_1,True,1.6,78.5,75,bipedal_tailed,Hermit Crab,0.5,30.6640625,Kanto
80,81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,Grey,False,0.0,Mineral,None,False,0.3,6.0,190,head_arms,Magnet,0.0,66.6666666667,Kanto
81,82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,Grey,False,0.0,Mineral,None,False,0.99,60.0,60,multiple_bodies,Magnet,0.0,61.2182430364,Kanto
82,83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,Brown,True,0.5,Flying,Field,False,0.79,15.0,45,two_wings,Wild Duck,0.5,24.0346098382,Kanto
83,84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,Brown,True,0.5,Flying,None,False,1.4,39.2,190,head_legs,Twin Bird,0.5,20.0,Kanto
84,85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,Brown,True,0.5,Flying,None,False,1.8,85.2,45,head_legs,Triple Bird,0.5,26.2962962963,Kanto
85,86,Seel,Water,None,325,65,45,55,45,70,45,1,False,White,True,0.5,Water_1,Field,False,1.09,90.0,190,with_fins,Sea Lion,0.5,75.751199394,Kanto
86,87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,White,True,0.5,Water_1,Field,False,1.7,120.0,75,with_fins,Sea Lion,0.5,41.5224913495,Kanto
87,88,Grimer,Poison,None,325,80,80,50,40,50,25,1,False,Purple,True,0.5,Amorphous,None,False,0.89,30.0,190,head_arms,Sludge,0.5,37.8740058073,Kanto
88,89,Muk,Poison,None,500,105,105,75,65,100,50,1,False,Purple,True,0.5,Amorphous,None,False,1.19,30.0,75,head_arms,Sludge,0.5,21.1849445661,Kanto
89,90,Shellder,Water,None,305,30,65,100,45,25,40,1,False,Purple,True,0.5,Water_3,None,False,0.3,4.0,190,head_only,Bivalve,0.5,44.4444444444,Kanto
90,91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,Purple,True,0.5,Water_3,None,False,1.5,132.5,60,head_only,Bivalve,0.5,58.8888888889,Kanto
91,92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,Purple,True,0.5,Amorphous,None,False,1.3,0.1,190,head_only,Gas,0.5,0.0591715976331,Kanto
92,93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,Purple,True,0.5,Amorphous,None,False,1.6,0.1,90,head_arms,Gas,0.5,0.0390625,Kanto
93,94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,Purple,True,0.5,Amorphous,None,True,1.5,40.5,45,bipedal_tailed,Shadow,0.5,18.0,Kanto
94,95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,Grey,True,0.5,Mineral,None,False,8.79,210.0,45,serpentine_body,Rock Snake,0.5,2.71795051,Kanto
95,96,Drowzee,Psychic,None,328,60,48,45,43,90,42,1,False,Yellow,True,0.5,Human-Like,None,False,0.99,32.4,190,bipedal_tailless,Hypnosis,0.5,33.0578512397,Kanto
96,97,Hypno,Psychic,None,483,85,73,70,73,115,67,1,False,Yellow,True,0.5,Human-Like,None,False,1.6,75.6,75,bipedal_tailless,Hypnosis,0.5,29.53125,Kanto
97,98,Krabby,Water,None,325,30,105,90,25,25,50,1,False,Red,True,0.5,Water_3,None,False,0.41,6.5,225,insectoid,River Crab,0.5,38.6674598453,Kanto
98,99,Kingler,Water,None,475,55,130,115,50,50,75,1,False,Red,True,0.5,Water_3,None,False,1.3,60.0,60,insectoid,Pincer,0.5,35.5029585799,Kanto
99,100,Voltorb,Electric,None,330,40,30,50,55,55,100,1,False,Red,False,0.0,Mineral,None,False,0.51,10.4,190,head_only,Ball,0.0,39.9846212995,Kanto
100,101,Electrode,Electric,None,480,60,50,70,80,80,140,1,False,Red,False,0.0,Mineral,None,False,1.19,66.6,60,head_only,Ball,0.0,47.0305769367,Kanto
101,102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,Pink,True,0.5,Grass,None,False,0.41,2.5,90,multiple_bodies,Egg,0.5,14.8720999405,Kanto
102,103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,Yellow,True,0.5,Grass,None,False,2.01,120.0,45,head_legs,Coconut,0.5,29.7022350932,Kanto
103,104,Cubone,Ground,None,320,50,50,95,40,50,35,1,False,Brown,True,0.5,Monster,None,False,0.41,6.5,190,bipedal_tailed,Lonely,0.5,38.6674598453,Kanto
